Video ID,Playlist video creation timestamp
ht6fH_I9o3E,2015-06-01T08:31:06+00:00
cDjPJETYhUE,2014-06-22T09:19:56+00:00
inGQDjAqhtw,2014-01-29T17:01:11+00:00
3ccFdB91siY,2013-01-20T19:26:10+00:00
7_DFya88PC4,2012-11-28T12:17:55+00:00
ANZbkLL2t8g,2012-09-02T06:09:25+00:00
38rGcMhrBNU,2012-02-03T21:30:49+00:00
5AdofbZ5L9k,2012-01-22T16:08:39+00:00
S8hJWY1U7oA,2011-12-30T10:57:42+00:00
TtWjYdTLRW8,2011-12-30T10:47:20+00:00
3Qwn1jRsQBE,2011-11-11T19:01:09+00:00
Ci4Et17sxSo,2011-08-06T18:55:30+00:00
crXMvof5lEw,2011-05-28T17:04:29+00:00
lFF2bkiHNVQ,2010-12-18T15:56:08+00:00
HQ7R_buZPSo,2010-12-18T15:48:41+00:00
QX2-9fS5TBY,2010-07-19T18:19:13+00:00
yHGODp0b8Ks,2010-07-15T14:07:47+00:00
M8PAuvxCZuM,2010-05-28T10:38:42+00:00
rPQEFu5_-gQ,2009-11-25T14:55:31+00:00
rJcMe1OFBRQ,2009-08-07T16:18:39+00:00





