Video ID,Playlist video creation timestamp
POdkgAIJBWU,2012-09-17T14:59:30+00:00
hEiJ-VuCnCo,2012-09-17T14:59:30+00:00
okgd_wPtDVM,2012-09-17T14:59:30+00:00
RhKP7FfCstE,2012-09-17T14:59:30+00:00
ZeTqGfnXZOo,2012-09-17T14:59:30+00:00
h81KULaa5W8,2012-09-17T14:59:30+00:00
dpBQVKnI-oI,2012-09-17T14:59:30+00:00
ajaYgGnefT4,2012-09-17T14:59:30+00:00
KaxR1WUl8Jg,2012-09-17T14:59:30+00:00
gDZTpYmtG3g,2012-09-17T14:59:30+00:00
8r9nEdkKWks,2012-09-17T14:59:30+00:00
t4fihXJixdg,2012-09-17T14:59:30+00:00
OaiQ7YPo9W0,2012-09-17T14:59:30+00:00





