Playlist ID,Add new videos to top,Playlist description (original),Playlist image 1 Create timestamp,Playlist image 1 URL,Playlist image 1 Height,Playlist image 1 Width,Playlist image 2 Create timestamp,Playlist image 2 URL,Playlist image 2 Height,Playlist image 2 Width,Playlist title (original),Playlist title (original) language,Playlist create timestamp,Playlist update timestamp,Playlist video order,Playlist visibility
PL5u2tU9gK0Gvc24wxnO5RtMScIgNdkVU1,False,,,,,,,,,,KCD2,,2025-02-17T00:28:43+00:00,2025-02-17T00:28:43+00:00,Manual,Public
PL5u2tU9gK0GvPuSk__Wf16esI_vyNdbbB,False,,,,,,,,,,Nano,,2025-01-10T10:21:27+00:00,2025-04-24T19:49:02+00:00,Manual,Private
PL5u2tU9gK0GuGKO8okrfTtrH-P00SS7cE,False,,,,,,,,,,Medical Robotics,,2025-01-09T05:51:08+00:00,2025-04-30T11:33:03+00:00,Manual,Private
PL5u2tU9gK0GtEtxQ7FxLHr2-ioGgnbUnS,False,,,,,,,,,,Gaming,,2025-01-04T01:42:54+00:00,2025-03-12T15:56:24+00:00,Manual,Private
PL5u2tU9gK0Gtv2AFP6RhYIT7tPVtDMNtx,False,,,,,,,,,,Regenerative Medicine,,2024-11-24T15:25:18+00:00,2024-11-24T15:31:33+00:00,Manual,Private
PL5u2tU9gK0GvBjIxmJyLuLOvD6zS7bMfA,False,,,,,,,,,,Optogentics,,2024-11-11T11:03:20+00:00,2024-11-18T16:19:16+00:00,Manual,Private
PL5u2tU9gK0GvFZx2tnOH4r6ApSyS3U4al,False,,,,,,,,,,Biomedical,,2024-11-04T11:53:09+00:00,2024-11-22T10:48:56+00:00,Manual,Private
PL5u2tU9gK0GsYms9KWjClAawyIrByd36D,False,,,,,,,,,,Unimog,,2024-10-26T11:04:01+00:00,2024-10-26T11:04:01+00:00,Manual,Private
PL5u2tU9gK0Gt-Iqly7Q_XVyGpNvxHikVe,False,,,,,,,,,,RAG,,2024-10-26T08:06:40+00:00,2024-11-01T15:49:20+00:00,Manual,Private
PL5u2tU9gK0GsqdcZO7ZB5wtO8tD0CalmL,False,,,,,,,,,,RAG - LangChain,,2024-10-16T13:25:24+00:00,2024-10-16T16:02:24+00:00,Manual,Private
PL5u2tU9gK0GtgxQj2lKosYetxgD0KVp2o,False,,,,,,,,,,Matrix,,2024-10-04T08:51:00+00:00,2025-05-10T09:53:10+00:00,Manual,Private
PL5u2tU9gK0GtGUvAnm1TNr-YmZJuVfarG,False,,,,,,,,,,Controller,,2024-09-25T15:59:57+00:00,2024-09-25T15:59:57+00:00,Manual,Private
PL5u2tU9gK0GuAYAQKE6vSaMm8LuuWb-hd,False,,,,,,,,,,FarmSim,,2024-09-22T07:47:20+00:00,2024-11-18T12:28:24+00:00,Manual,Private
PL5u2tU9gK0GsVNxEn5PoeXPvEU5LT3Bt-,False,,,,,,,,,,Bio-MEMS,,2024-09-21T13:01:19+00:00,2024-11-22T10:48:55+00:00,Manual,Public
PL5u2tU9gK0GvEGegqyKj0O_ME6BVPejie,False,,,,,,,,,,Medical Imaging,,2024-09-18T12:29:16+00:00,2024-10-31T10:17:12+00:00,Manual,Public
PL5u2tU9gK0Gtvq0D0V6-JpdiE0r9D-778,False,,,,,,,,,,Image guide nav surgery,,2024-09-04T12:38:49+00:00,2025-02-16T11:38:36+00:00,Manual,Private
PL5u2tU9gK0GvrYejr4HCyLxXpu-eImLo5,False,,,,,,,,,,Basic Biomedical Science,,2024-09-03T09:31:55+00:00,2024-09-03T09:31:55+00:00,Manual,Private
PL5u2tU9gK0Gv1wDcyRwAdCpzUrhYdqdb7,False,,,,,,,,,,Biodynamics - Bionic Limbs,,2024-08-28T14:35:06+00:00,2024-09-01T15:33:36+00:00,Manual,Private
PL5u2tU9gK0Gu_KFFmZ543Smi3319KU1fQ,False,,,,,,,,,,Projects,,2024-08-20T12:46:27+00:00,2025-03-23T15:10:39+00:00,Manual,Private
PL5u2tU9gK0GuvOMomIycOke7qhSOQgfN5,False,,,,,,,,,,AI,,2024-08-20T12:45:22+00:00,2024-11-19T04:09:48+00:00,Manual,Private
PL5u2tU9gK0Gs3GUdz_SOyo6GdcnMatB43,False,,,,,,,,,,Physiology,,2024-08-12T16:33:26+00:00,2024-08-20T13:01:16+00:00,Manual,Private
PL5u2tU9gK0GuESpqNjCNpfH7RCKCVU-pa,False,,,,,,,,,,Mac,,2024-07-30T17:37:59+00:00,2024-08-20T12:50:35+00:00,Manual,Private
PL5u2tU9gK0GufS9e67WazXHv-VolIMoxD,False,,,,,,,,,,Second brain,,2024-05-24T15:51:56+00:00,2024-08-20T12:59:26+00:00,Manual,Private
PL5u2tU9gK0Gt-AiWqcRxqCpsLreHNhIKa,False,,,,,,,,,,Fallout,,2024-05-11T11:28:06+00:00,2024-05-24T15:50:00+00:00,Manual,Private
PL5u2tU9gK0GtNFZu7puZo3lph9ppUL8Gx,False,,,,,,,,,,Jetson,,2023-12-09T00:54:02+00:00,2023-12-09T04:32:02+00:00,Manual,Private
PL5u2tU9gK0Gsp706cCjg1ipgy4XGVFNXl,False,,,,,,,,,,JBoss,,2023-08-27T18:27:28+00:00,2023-08-27T18:27:28+00:00,Manual,Private
