Video ID,Playlist video creation timestamp
_uec6fKwJw8,2019-02-17T12:05:23+00:00
f0EWvN4Ce5M,2019-02-17T12:05:23+00:00
1FzkYT8Aprg,2019-02-17T12:05:23+00:00
egEqeZLImFE,2019-02-17T12:05:23+00:00
348ncbDm9IA,2019-02-17T12:05:23+00:00
7aRXZpOzwvo,2019-02-17T12:05:23+00:00
58nuyNrMZWw,2019-02-17T12:05:23+00:00
7xByyw-m6BQ,2019-02-17T12:05:23+00:00
JTNTIXKgrww,2019-02-17T12:05:23+00:00
rztYpwGxiLI,2019-02-17T12:05:23+00:00
OdxBNnfMu1o,2019-02-17T12:05:23+00:00
RMnkvVjdJd8,2019-02-17T12:05:23+00:00
L0MK7qz13bU,2019-02-17T12:05:23+00:00
AZMF87XuqoE,2019-02-17T12:05:23+00:00
W5g6YprAYPM,2019-02-17T12:05:23+00:00
oaFr_C2oymc,2019-02-17T12:05:23+00:00
q4Iw9RTDDhQ,2019-02-17T12:05:23+00:00
 -ufqnVI8qQQ,2019-02-17T12:05:23+00:00
2e06Vcc6PS4,2019-02-17T12:05:23+00:00
tBhBUBcZBSA,2019-02-17T12:05:23+00:00
ys4b1do8cnc,2019-02-17T12:05:23+00:00
Ptg_Voquyc0,2019-02-17T12:05:23+00:00
dUey9YBajR0,2019-02-17T12:05:23+00:00
sbo6s3KNAbg,2019-02-17T12:05:23+00:00
CECjtMm4-ps,2019-02-17T12:05:23+00:00
gNMqAJF6YF8,2019-02-17T12:05:23+00:00
as5bbKVFva4,2019-02-17T12:05:23+00:00
xFP-ZUsBOxo,2019-02-17T12:05:23+00:00
nAmMQv9GFSA,2019-02-17T12:05:23+00:00
7vP57jrAKBM,2019-02-17T12:05:23+00:00
vUEzDn6QcWA,2019-02-17T12:05:23+00:00
wLBO9qXt01k,2019-02-17T12:05:23+00:00
vGVVHCBb5ZM,2019-02-17T12:05:23+00:00
Nz6AFnIx1_A,2019-02-17T12:05:23+00:00
T_BOE0XloIA,2019-02-17T12:05:23+00:00
jadR5lpTRJg,2019-02-17T12:05:23+00:00
GAb-C61pWa4,2019-02-17T12:05:23+00:00
5cwd8NdcXZQ,2019-02-17T12:05:23+00:00
CIfUjAeUM2E,2019-02-17T12:05:23+00:00
mfWp3c-MpVU,2019-02-17T12:05:23+00:00
J8mQEzTAFkU,2019-02-17T12:05:23+00:00
pHXtlEgfzho,2019-02-17T12:05:23+00:00
237NjMeUM6w,2019-02-17T12:05:23+00:00
b04z5PIt_f4,2019-02-17T12:05:23+00:00
AmQhT1lb5CU,2019-02-17T12:05:23+00:00
r_7wVggjGuk,2019-02-17T12:05:23+00:00
xutOySp0daI,2019-02-17T12:05:23+00:00
OXoVgFRJzzI,2019-02-17T12:05:23+00:00





