Channel ID,Channel URL,Channel title
UC-0unh5x9WSd6aj0OGxrgaA,http://www.youtube.com/channel/UC-0unh5x9WSd6aj0OGxrgaA,寰亞音樂 Media Asia Music Official Channel
UC-2hWXRgCg-o5Waz36Yt7BA,http://www.youtube.com/channel/UC-2hWXRgCg-o5Waz36Yt7BA,Arm Channel TV
UC-3SbfTPJsL8fJAPKiVqBLg,http://www.youtube.com/channel/UC-3SbfTPJsL8fJAPKiVqBLg,Deep Look
UC-3YVzX5LZ6QHFnv_CmAHAA,http://www.youtube.com/channel/UC-3YVzX5LZ6QHFnv_CmAHAA,SD1ONE
UC-3sjNnTrGpV3AcIOULs4jQ,http://www.youtube.com/channel/UC-3sjNnTrGpV3AcIOULs4jQ,entAIngine
UC-4pRjnTEVXuAS6_n7KROtg,http://www.youtube.com/channel/UC-4pRjnTEVXuAS6_n7KROtg,Captain VL Channel隊長郊遊頻道
UC-5DK6NqjylqlE78E7D2Raw,http://www.youtube.com/channel/UC-5DK6NqjylqlE78E7D2Raw,Better Trading
UC-6OW5aJYBFM33zXQlBKPNA,http://www.youtube.com/channel/UC-6OW5aJYBFM33zXQlBKPNA,Engadget
UC-71RgMcyS02ObeFXg81SAw,http://www.youtube.com/channel/UC-71RgMcyS02ObeFXg81SAw,Gary Barlow Official
UC-99CJhCvW0VmIjO2R9tkeg,http://www.youtube.com/channel/UC-99CJhCvW0VmIjO2R9tkeg,奧古上了沒
UC-DuRqsBQOEk_5o1q4Ze-Fg,http://www.youtube.com/channel/UC-DuRqsBQOEk_5o1q4Ze-Fg,Formula E
UC-EWIqLzm4ttojYUAOSht9A,http://www.youtube.com/channel/UC-EWIqLzm4ttojYUAOSht9A,Nick930
UC-EXTfLnOmCKVRJrv8xoGrQ,http://www.youtube.com/channel/UC-EXTfLnOmCKVRJrv8xoGrQ,Texas Instruments
UC-L6JCPaLSDsP9eLkONGgFQ,http://www.youtube.com/channel/UC-L6JCPaLSDsP9eLkONGgFQ,Popular on YouTube - Hong Kong
UC-LC7d3b-3q99iulz4-Riog,http://www.youtube.com/channel/UC-LC7d3b-3q99iulz4-Riog,Emnel
