Video ID,Video Title,Video Creation Date,Channel ID,Channel Title
vgmqUhvQlww,Everything is Better: GaN vs Silicon Power Supplies,2025-05-03T03:56:05+00:00,UCPa1ivCpLcqP60OGqb9Yzqw,ElectrArc240
YfhPJ8GxdgI,"全新手入坑 3D打印〡$1,600入門機 夠玩〡上網免費海量模型任玩〡免畫圖一㩒即印玩具 家居小物〡Mac mini 變身 Mac Pro〡最抵玩入門 3D打印機推介〡",2025-05-01T15:43:43+00:00,UCrZG5sGryxwgSDQSlHgmZTw,GadgetGang HK
2aGe20OuUAU,The Exact Math Books I read to go from Beginner to Pro (in under 4 years),2025-05-04T20:19:47+00:00,UCpGPq70Csdqhc1YCbJWQrJQ,The Honest Torus
JJXEhmcQxwg,NanoVP Imaging Of Non-Conductive Samples | FESEM | ZMCC Live Demo | Episode 36,2025-04-24T20:07:48+00:00,UCFGqfPwhO5N6LShbLmQT6xw,ZEISS Microscopy
vg8yizC4W8E,用國中數學打爆微分方程的大絕招！尤拉公式讓你秒懂電容電路,2025-05-02T00:31:03+00:00,UChVT0XLyNcKO-hPULCbqhrw,Hard派
qqY8STwjpx4,發現統計學致命漏洞🦠數學戒賭永久結束⚠️最後一部影片。,2025-04-19T20:07:08+00:00,UCH2t6jvINIOeYzBQR0iI5kw,賭Sir【杜氏數學】HermanToMath
ke7CaL-EXQg,【科技專題】2025-04-16 Meta內部文件曝光 / 朱克伯格的獨裁統治〈Allen〉,2025-04-18T08:25:32+00:00,UCKW_xzxlZlQQYm42HixNFEA,0xmd
bKBXqviTpaM,投注教室869 - 賽後你點睇 16/4/2025,2025-04-16T16:46:56+00:00,UCUkbhWzfEqSF0cweTVvdf8w,MoneyFlow007 賽馬熱錢流
dGQwgEy2Tjg,軍工開物 2024-04-14 金屬疲勞是軍工大敵，發明抗疲勞金屬意義重大。| 主持：陳博 Larry,2025-04-14T15:55:25+00:00,UCQzGoSgQybtgQ2uuJJ7TaiA,Science Frontier (科學新知)
xi6-7dhSX3Y,憋住的屁，去了哪里？如何科学控制屁量？,2025-04-17T00:47:27+00:00,UC9TjuEU3eyXcXCp3natx86Q,锦鲤实验室
