Video ID,Playlist video creation timestamp
wg18ymWYYtg,2022-12-11T17:35:39+00:00
3SKCAl-ZN4U,2022-12-17T13:23:54+00:00
1srFmjt1Ib0,2022-12-18T04:25:55+00:00
ie0cBYNjrUY,2022-12-18T16:24:11+00:00
Ch5VhJzaoaI,2022-12-20T06:04:29+00:00
hIJSvsOpgSU,2022-12-22T01:38:18+00:00
vGh8LcugRYg,2022-12-23T01:25:57+00:00
3rUNrRjbZzI,2022-12-23T03:37:32+00:00
mmy9Mp-Z_ms,2022-12-23T12:05:49+00:00
yDAdgkHENpc,2022-12-26T03:29:07+00:00
3y9toKimklI,2022-12-26T16:57:11+00:00
yFrhqG1uAXc,2022-12-27T13:50:15+00:00
QTH9m6MDIfc,2022-12-30T17:59:56+00:00
lp4ZNRd-ORc,2023-01-02T15:14:53+00:00
Tkps1v-xiRk,2023-01-02T18:24:23+00:00





