Video ID,Playlist video creation timestamp
yd2Tn7FNfpA,2025-01-17T13:29:09+00:00
KlorSS4_oTw,2024-11-06T19:33:31+00:00
tItcXRz9Bq4,2024-11-06T18:02:47+00:00
aU9v6J_Kcuw,2024-10-31T23:32:36+00:00
R9ZpNYu8z34,2024-10-29T20:11:36+00:00
d5V3NURjdIc,2024-09-12T18:36:00+00:00
z3QjzjOh9Ao,2024-07-16T18:16:41+00:00
RZzC2dr-fu0,2024-07-15T18:30:30+00:00
QBWAaaMqeTk,2024-07-15T18:22:26+00:00
VVpIVTwbsFE,2024-07-15T18:16:39+00:00
mZXac7A4dFA,2024-07-12T21:25:32+00:00
N8E8N1ePoOk,2024-07-12T20:51:15+00:00
bjpxgdTs9NI,2024-06-14T19:27:41+00:00
t7--SNt2V34,2024-06-14T18:59:02+00:00
P5D1lpky9MI,2024-06-14T18:58:52+00:00
bqsc72CfpdY,2024-06-14T18:12:43+00:00
-2nHx5qf7WM,2024-06-14T18:07:43+00:00
dFu3GCa4-oU,2024-06-14T18:06:26+00:00
2dXwlykNemw,2024-06-14T17:52:16+00:00
3_B1TMtgVa4,2024-06-05T17:53:57+00:00
SOhWknul034,2024-05-13T19:25:29+00:00
qMWH3KbhOR0,2024-05-13T19:12:31+00:00
nmMdYkgZTLA,2024-05-13T17:45:04+00:00
ti2MOe_NaB8,2024-04-26T19:56:02+00:00
bxo58J_tHTU,2024-02-06T00:46:45+00:00
8MG--WuNW1Y,2023-08-02T19:50:53+00:00
fdoNGczBLBI,2023-07-18T19:03:59+00:00
M_-G67XwOqo,2023-07-18T17:20:56+00:00
njekr9ptDQA,2023-07-16T15:19:33+00:00
V8qAY_ri-y4,2023-07-06T07:09:29+00:00
4r0DXXEq5Fs,2023-07-06T06:34:04+00:00
pevubbBFcks,2023-07-06T06:29:53+00:00
18h4p35k0G0,2023-07-06T06:25:54+00:00
hwoqE1S0U1g,2023-07-06T06:21:29+00:00
tTSuWr6VEaw,2023-07-06T06:18:31+00:00
5NV6Rdv1a3I,2023-07-06T06:06:49+00:00
0QVOc1aagSE,2023-07-06T06:06:20+00:00
18rwBsOfoTw,2023-06-16T01:24:56+00:00
shOVCS54WH4,2023-06-16T01:20:45+00:00
eqtrVARKKp8,2023-06-05T16:21:41+00:00
8exRh7WfFU8,2023-05-20T13:22:20+00:00
fNhclK6PGSU,2023-05-19T16:06:24+00:00
f7RwDnZI7Tw,2023-05-18T04:38:24+00:00
40RaRER4IaI,2023-05-13T06:37:17+00:00
