Video ID,Playlist video creation timestamp
VG4lpTHuytc,2022-08-12T10:26:22+00:00
 -uOShlFu1v8,2022-08-12T10:26:39+00:00
R9TPed_ohKM,2022-08-12T10:26:40+00:00
j4OrZV_GAsI,2022-08-12T10:26:43+00:00
Wk3Vxt3knnI,2022-08-12T10:26:47+00:00
2zZxNpzqcAc,2022-08-12T10:26:48+00:00
PyyT5tHbOLw,2022-08-12T10:33:35+00:00
fW1Cgv63naI,2022-08-12T10:33:36+00:00
miqQAzOXPBo,2022-08-12T10:33:40+00:00
w4nihuYVTW0,2022-08-12T10:33:41+00:00
y0nVpR8DO7I,2022-08-12T10:33:44+00:00
8yTxNtVr_d8,2022-08-12T10:33:47+00:00
7nigXQS1Xb0,2022-08-12T10:33:53+00:00
3AIII5SN0N0,2022-08-12T10:33:54+00:00
jKkuLPSCydI,2022-08-12T10:40:36+00:00
u1uvv_yKhH8,2022-08-12T10:40:46+00:00
0EK_M2taRIM,2022-08-12T10:41:19+00:00
hh5GKVa8VtM,2022-08-12T10:41:23+00:00
AzifmextSDM,2022-08-12T10:41:24+00:00
I0pC-2pLEWY,2022-08-12T10:41:31+00:00
JSw2CF4EoKA,2022-08-12T10:41:35+00:00
4-4COoO5Qdg,2022-08-12T10:41:38+00:00
uh7E7Nt-n1k,2022-08-12T10:41:40+00:00
3d-D5bLDZSk,2022-08-12T10:41:46+00:00
2KSWVz2tDEI,2022-08-12T10:41:55+00:00
m-zUlgJxheU,2022-08-12T10:41:58+00:00
Q-erYa8cwnc,2022-08-12T10:42:03+00:00
xeGlv2QeFmA,2022-08-12T10:42:05+00:00
REmUidcJt5I,2022-08-12T10:42:06+00:00
6KMN61Zsd58,2022-08-12T10:42:10+00:00
P8W4p5UIfqA,2022-08-12T10:42:11+00:00
aFoqCI75WoY,2022-08-12T10:42:12+00:00
XReCgXhOg3E,2022-08-12T10:42:13+00:00
IfemyZEhfpY,2022-08-12T10:42:17+00:00
IoiaAA4vNaI,2022-08-12T10:42:21+00:00
9IVhjh15ofo,2022-08-12T10:42:22+00:00
ZThVobEtp_o,2022-08-12T10:42:26+00:00
ZO1xdXOXarc,2022-08-12T10:42:27+00:00
ei0k_1Uro-U,2022-08-12T10:42:28+00:00
pQBntSH-qFA,2022-08-12T10:42:29+00:00
tkzYyEp4zB4,2022-08-12T10:42:30+00:00
ZpD59tu5_Rk,2022-08-12T10:42:37+00:00
Q6CRKXKpdSM,2022-08-12T10:42:40+00:00
prWVZFgZ3Zc,2022-08-12T10:42:43+00:00
HaEYUJ2aRHs,2022-08-12T10:42:46+00:00
xgiN9zNZCuM,2022-08-12T10:42:48+00:00
BL-aIpCLWnU,2022-08-12T10:42:50+00:00
NpCAcSez2BU,2022-08-12T10:42:55+00:00
o6k2pS-agVI,2022-08-12T10:42:56+00:00
50vPM-vrhgY,2022-08-12T10:42:57+00:00
RWDj4_A1hyQ,2022-08-12T10:43:00+00:00
nTQgVDB7VOA,2022-08-12T10:43:04+00:00
cCSd_gSXuBA,2022-08-12T10:43:18+00:00
Kevp2lFKSOg,2022-08-12T10:43:27+00:00
___h2czNhe0,2022-08-12T10:43:31+00:00
FHn4P9Fyj0M,2022-08-12T10:43:34+00:00
oewu6Q2cseg,2022-08-25T10:19:38+00:00
BJDjXdyMwRQ,2022-08-25T10:20:16+00:00
OA41_pkBL50,2022-08-25T10:34:28+00:00
CjZf_Cfp4Qw,2022-08-25T10:34:52+00:00
p1bjnyDqI9k,2022-09-26T10:31:55+00:00
k6jqx9kZgPM,2022-09-26T10:32:07+00:00
ddhScf9lMr8,2022-09-26T10:32:19+00:00
XO9GiPOLd3I,2022-09-26T10:45:46+00:00
UhxW9Njqqu0,2022-10-31T10:26:04+00:00





