Video ID,Playlist video creation timestamp
4U1GjRFgDSg,2023-04-19T15:17:48+00:00
SWT3cl8v0eg,2023-04-19T15:18:06+00:00
Vd9QkWsd5p4,2023-04-19T15:23:44+00:00
1mMj3zVAaUc,2023-04-19T15:18:29+00:00
FxuVJeeKK_4,2023-04-19T15:18:40+00:00
m03cEHNh3k4,2023-04-19T15:19:59+00:00
TZAukN4oqsM,2023-04-20T09:02:23+00:00
EoO2MTDkpJA,2023-04-19T15:18:42+00:00
z0M30CK0QSk,2023-04-19T15:36:04+00:00
V6TEcoNUmc8,2023-04-19T15:18:43+00:00
SZiwpL62to8,2023-04-19T15:18:46+00:00
5U3GbdUuAZo,2023-04-19T15:18:41+00:00
IPk3M154M3s,2023-04-19T15:18:48+00:00
3vohWSgTcNw,2023-04-19T15:18:48+00:00
2Kff0U8w-aU,2023-04-19T15:18:49+00:00
hh5GKVa8VtM,2023-04-19T15:18:51+00:00
9cyPQQsGkb0,2023-04-19T15:18:52+00:00
khq6T9aHcI8,2023-04-19T15:18:55+00:00
Fmiu0L9XSVg,2023-04-19T15:18:56+00:00
Wk3Vxt3knnI,2023-04-19T15:18:57+00:00
kdOS94IjzzE,2023-04-19T15:18:58+00:00
D8RZbI1jfQ0,2023-04-19T15:19:02+00:00
WX-9EL7fqdg,2023-04-19T15:19:04+00:00
ghrlZIMDzbM,2023-04-19T15:19:05+00:00
5WAURat5GPM,2023-04-19T15:19:11+00:00
F2Y0Q9blUPk,2023-04-19T15:19:14+00:00
1tkdmY7sdUc,2023-04-19T15:19:14+00:00
RdU3F5vN3_s,2023-04-19T15:19:17+00:00
NpCAcSez2BU,2023-04-19T15:19:20+00:00
FHn4P9Fyj0M,2023-04-19T15:19:21+00:00
aFoqCI75WoY,2023-04-19T15:19:23+00:00
3PW1UcIKOyM,2023-04-19T15:19:29+00:00
cJ-KtgbuId0,2023-04-19T15:19:35+00:00
2zZxNpzqcAc,2023-04-19T15:19:38+00:00
tKIERbJ-R-M,2023-04-19T15:19:39+00:00
wjCrjR5WpgQ,2023-04-19T15:19:42+00:00
8mA6jIeojnk,2023-04-19T15:19:46+00:00
ZeIneYtQ1rw,2023-04-19T15:19:47+00:00
1-xAmlac1Lo,2023-04-19T15:19:49+00:00
F8c8f2nK82w,2023-04-19T15:19:50+00:00
 -gibBYpzZbI,2023-04-19T15:19:54+00:00
0EK_M2taRIM,2023-04-19T15:19:55+00:00
7nigXQS1Xb0,2023-04-19T15:19:56+00:00
IPzouyj7FLA,2023-04-19T15:20:02+00:00
BL-aIpCLWnU,2023-04-19T15:20:03+00:00
S3Q966mgeSc,2023-04-19T15:20:13+00:00
D6KP4btz2eY,2023-04-19T15:20:17+00:00
RWDj4_A1hyQ,2023-04-19T15:20:22+00:00
___h2czNhe0,2023-04-19T15:20:30+00:00
IoiaAA4vNaI,2023-04-19T15:20:35+00:00
V9Wsm0hlLUI,2023-04-19T15:20:36+00:00
ZO1xdXOXarc,2023-04-19T15:20:39+00:00
4YSHPGn9-LM,2023-04-19T15:20:44+00:00
AzifmextSDM,2023-04-19T15:20:47+00:00
psoyfapc_nc,2023-04-19T15:20:58+00:00
a0LmdjshiAQ,2023-04-19T15:23:06+00:00
cLaw6Fj14ME,2023-04-19T15:23:13+00:00
4-4COoO5Qdg,2023-04-19T15:23:23+00:00
SC42pCNLoJk,2023-04-20T09:49:03+00:00
dsvDBI-6w9A,2023-04-24T12:46:38+00:00
tIP4vpTvU7E,2023-04-24T12:47:36+00:00
vRdZVDWs3BI,2023-04-26T09:24:29+00:00
Ex2BKaNX8xA,2023-04-28T10:25:11+00:00
WdiSosDz4ss,2023-05-02T10:56:38+00:00





