Video ID,Playlist video creation timestamp
18ewQ6guhgA,2020-03-22T18:09:20+00:00
mOD2V1eVnoY,2020-03-22T18:09:20+00:00
vEoOWSxS_vU,2020-03-22T18:09:20+00:00
JA2r0hz50X0,2020-03-22T18:11:11+00:00
HnIdTxshf1Q,2020-03-22T18:11:00+00:00
LV6EarqIzVw,2020-03-22T18:10:30+00:00
lCVoTDEeF6U,2020-03-22T18:10:45+00:00
CEpvSycKz_M,2020-04-11T18:50:36+00:00
8O1p87zsEno,2020-04-11T18:51:04+00:00
I2pZVJMo7jM,2020-04-11T18:51:12+00:00
JHdTZcanvUg,2020-04-11T18:51:19+00:00
8CzQ7fhHrXE,2020-04-11T18:51:25+00:00
G3lrIGhgUGE,2020-04-11T18:51:37+00:00
uaJfIcoEgN8,2020-04-11T18:51:42+00:00
9FGnT6FKtf4,2020-04-11T18:51:48+00:00
KlnAe5dYaV4,2020-04-12T17:56:20+00:00
A1x_rDy1tdM,2020-04-12T17:56:28+00:00
linVlBkrni0,2020-04-12T17:56:32+00:00
uIdwy90InwY,2020-04-12T17:56:35+00:00
Y5IJAl8iw4k,2020-04-12T17:56:37+00:00
TBR47QWODGQ,2020-04-12T17:56:50+00:00
gv5MEXmXl9A,2020-04-12T17:56:54+00:00
XwuG6J42Lu4,2020-04-12T17:56:57+00:00
yjlSRnCW4X4,2020-04-12T17:57:00+00:00
7EPoQcQrX2o,2020-04-27T19:49:34+00:00
 -XxKmvh9LeY,2020-04-27T19:49:51+00:00
gdpLrzYbhZk,2020-04-27T19:50:00+00:00
6RD78OOlDIY,2020-04-27T19:50:07+00:00
s1VN8X5iIDc,2020-04-27T19:50:14+00:00
NiAIZKumrRI,2020-04-27T19:50:23+00:00
cOPgq1oEVk4,2020-04-27T19:50:29+00:00





